Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Matches
Harry Kane,eng ENG,FW,Bayern Munich,31-260,1993,27,25,2113,23.5,23,8,31,14,9,9,4,0,18.3,11.3,4.3,15.5,25,81,128,0.94,0.96,Matches
Patrik Schick,cz CZE,FW,Leverkusen,29-080,1996,26,15,1344,14.9,17,0,17,17,0,0,4,0,10.6,10.6,0.6,11.2,5,17,92,1.14,0.75,Matches
Tim Kleindienst,de GER,FW,Gladbach,29-226,1995,27,27,2377,26.4,15,5,20,14,1,2,5,1,13.1,11.4,5.2,16.6,40,55,131,0.72,0.69,Matches
Omar Marmoush,eg EGY,FW,Eint Frankfurt,26-066,1999,17,17,1448,16.1,15,9,24,13,2,2,2,0,8.8,7.3,6.2,13.5,73,50,125,1.37,0.94,Matches
Serhou Guirassy,gn GUI,FW,Dortmund,29-033,1996,25,24,2163,24.0,15,2,17,13,2,2,3,0,17.8,16.2,3.7,19.9,16,29,106,0.62,0.89,Matches
Jonathan Burkardt,de GER,FW,Mainz 05,24-277,2000,24,23,1665,18.5,15,2,17,14,1,1,0,0,12.3,11.5,2.7,14.1,25,36,127,0.86,0.81,Matches
Hugo Ekitike,fr FRA,FW,Eint Frankfurt,22-298,2002,28,26,2125,23.6,14,5,19,13,1,3,1,0,19.5,17.2,5.2,22.4,78,43,181,0.76,1.05,Matches
Ermedin Demirović,ba BIH,FW,Stuttgart,27-020,1998,29,18,1620,18.0,13,0,13,13,0,2,2,0,11.6,9.9,1.4,11.3,18,27,98,0.72,0.72,Matches
Jamal Musiala,de GER,MF,Bayern Munich,22-047,2003,25,21,1798,20.0,12,2,14,12,0,0,3,0,9.3,9.3,4.5,13.8,71,107,156,0.70,0.69,Matches
Benjamin Šeško,si SVN,"FW,MF",RB Leipzig,21-318,2003,28,26,2075,23.1,11,5,16,10,1,1,2,1,8.0,7.3,2.0,9.2,39,40,121,0.65,0.43,Matches
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,33-299,1991,27,27,2327,25.9,10,5,15,7,3,3,3,0,10.1,7.8,3.7,11.4,64,120,174,0.46,0.53,Matches
Mohamed Amoura,dz ALG,FW,Wolfsburg,24-340,2000,26,25,2150,23.9,10,8,18,8,2,2,5,0,7.6,6.0,3.4,9.4,71,53,214,0.67,0.46,Matches
Alassane Pléa,fr FRA,"MF,FW",Gladbach,32-035,1993,26,21,1617,18.0,10,4,14,9,1,1,3,0,6.9,6.1,2.9,9.0,45,100,116,0.72,0.55,Matches
Florian Wirtz,de GER,"MF,FW",Leverkusen,21-346,2003,26,20,1910,21.2,9,10,19,7,2,4,2,0,8.5,5.2,6.0,11.2,104,139,252,0.80,0.68,Matches
Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26-312,1998,23,20,1722,19.1,9,2,11,9,0,0,4,0,3.5,3.5,1.1,4.6,49,46,81,0.57,0.24,Matches
Xavi Simons,nl NED,MF,RB Leipzig,21-358,2003,21,21,1805,20.1,9,4,13,9,0,0,5,0,3.9,3.9,5.6,9.5,65,122,147,0.65,0.47,Matches
Nick Woltemade,de GER,"FW,MF",Stuttgart,23-059,2002,24,14,1321,14.7,9,2,11,7,2,2,5,1,7.6,6.0,3.6,9.6,24,45,109,0.61,0.76,Matches
Leroy Sané,de GER,FW,Bayern Munich,29-093,1996,25,15,1378,15.3,9,4,13,9,0,0,2,0,8.8,8.8,4.5,13.3,59,47,226,0.85,0.87,Matches
Loïs Openda,be BEL,"FW,MF",RB Leipzig,25-057,2000,28,25,2152,23.9,9,5,14,9,0,1,5,1,8.8,8.0,3.0,11.0,52,43,199,0.59,0.49,Matches
Victor Boniface,ng NGA,FW,Leverkusen,24-112,2000,18,12,1006,11.2,8,1,9,8,0,1,2,0,7.8,7.1,1.1,8.1,26,23,60,0.81,0.80,Matches
Ritsu Doan,jp JPN,"FW,MF",Freiburg,26-302,1998,29,28,2431,27.0,8,7,15,8,0,0,1,0,6.1,6.1,3.0,9.0,57,99,158,0.56,0.33,Matches
Maximilian Beier,de GER,"FW,MF",Dortmund,22-179,2002,28,16,1557,17.3,8,5,13,8,0,0,2,0,7.7,7.7,3.3,11.0,23,33,123,0.75,0.64,Matches
Jamie Gittens,eng ENG,"FW,MF",Dortmund,20-249,2004,28,19,1633,18.1,8,3,11,8,0,0,3,0,3.5,3.5,2.5,6.0,106,37,161,0.61,0.33,Matches
Phil Harres,de GER,FW,Holstein Kiel,23-020,2002,21,17,1421,15.8,8,1,9,8,0,0,3,0,4.9,4.9,1.1,6.0,8,14,64,0.57,0.38,Matches
Michael Olise,fr FRA,FW,Bayern Munich,23-123,2001,29,23,1901,21.1,8,10,18,8,0,0,2,0,7.8,7.8,9.5,17.3,98,158,301,0.85,0.82,Matches
Benedict Hollerbach,de GER,"FW,MF",Union Berlin,23-332,2001,29,25,2108,23.4,8,1,9,8,0,0,2,0,6.1,6.1,1.4,7.5,85,55,171,0.38,0.32,Matches
Vincenzo Grifo,it ITA,"FW,MF",Freiburg,32-007,1993,29,26,2041,22.7,8,8,16,8,0,3,2,0,7.6,5.2,5.6,10.8,48,114,131,0.71,0.58,Matches
Paul Nebel,de GER,MF,Mainz 05,22-186,2002,27,22,1989,22.1,8,3,11,8,0,0,5,1,4.5,4.5,3.1,7.6,59,74,191,0.50,0.34,Matches
Jonas Wind,dk DEN,"FW,MF",Wolfsburg,26-066,1999,27,18,1705,18.9,8,3,11,7,1,2,2,0,5.1,3.3,4.0,7.3,15,83,77,0.53,0.48,Matches
Samuel Essende,cd COD,FW,Augsburg,27-081,1998,26,17,1434,15.9,7,2,9,7,0,0,4,1,3.3,3.3,1.2,4.5,31,16,110,0.56,0.28,Matches
Deniz Undav,de GER,"FW,MF",Stuttgart,28-269,1996,22,15,1276,14.2,7,1,8,7,0,0,3,0,9.2,9.2,1.6,10.8,28,47,100,0.56,0.76,Matches
Myron Boadu,nl NED,FW,Bochum,24-090,2001,14,8,677,7.5,7,1,8,6,1,1,1,0,5.6,4.8,0.6,5.4,6,10,40,0.93,0.83,Matches
Marvin Ducksch,de GER,FW,Werder Bremen,31-038,1994,27,25,2018,22.4,7,7,14,6,1,2,3,0,8.6,7.1,6.1,13.1,20,69,134,0.58,0.65,Matches
Jens Stage,dk DEN,MF,Werder Bremen,28-157,1996,23,21,1796,20.0,7,5,12,7,0,0,9,0,5.6,5.6,2.6,8.2,22,82,73,0.60,0.41,Matches
Marvin Pieringer,de GER,"FW,MF",Heidenheim,25-192,1999,26,21,1809,20.1,7,2,9,4,3,3,7,0,8.3,5.9,3.2,9.1,14,52,100,0.30,0.57,Matches
Shuto Machino,jp JPN,"FW,MF",Holstein Kiel,25-196,1999,27,18,1589,17.7,7,1,8,6,1,1,1,0,4.5,3.7,1.8,5.5,22,47,88,0.40,0.36,Matches
Nadiem Amiri,de GER,MF,Mainz 05,28-169,1996,25,25,2025,22.5,6,4,10,4,2,2,7,2,4.4,2.8,5.7,8.5,40,168,55,0.36,0.45,Matches
Serge Gnabry,de GER,"FW,MF",Bayern Munich,29-274,1995,22,9,897,10.0,6,3,9,6,0,1,0,0,6.7,5.9,4.1,10.0,39,39,125,0.90,1.09,Matches
Lee Jae-sung,kr KOR,MF,Mainz 05,32-247,1992,28,26,2246,25.0,6,5,11,6,0,0,4,0,3.9,3.9,4.6,8.4,24,94,137,0.44,0.34,Matches
Adam Hložek,cz CZE,"FW,MF",Hoffenheim,22-263,2002,22,18,1522,16.9,6,2,8,6,0,0,2,0,4.7,4.7,3.1,7.8,41,58,82,0.47,0.46,Matches
Tiago Tomás,pt POR,"FW,MF",Wolfsburg,22-302,2002,28,22,1772,19.7,6,1,7,6,0,0,6,0,5.3,5.3,2.4,7.7,31,46,119,0.36,0.39,Matches
Phillip Tietz,de GER,FW,Augsburg,27-279,1997,29,18,1518,16.9,6,2,8,5,1,1,4,0,5.2,4.4,1.1,5.4,7,27,97,0.42,0.37,Matches
Steven Skrzybski,de GER,"FW,MF",Holstein Kiel,32-147,1992,19,10,960,10.7,6,1,7,5,1,1,0,0,3.3,2.5,1.5,4.0,14,43,53,0.56,0.45,Matches
Marco Grüll,at AUT,"FW,MF",Werder Bremen,26-282,1998,25,12,1054,11.7,6,1,7,6,0,0,1,0,3.9,3.9,1.6,5.5,21,31,82,0.60,0.47,Matches
Lukas Kübler,de GER,DF,Freiburg,32-227,1992,23,21,1680,18.7,5,1,6,5,0,0,5,0,2.6,2.6,0.8,3.4,23,73,46,0.32,0.18,Matches
Morgan Guilavogui,gn GUI,"FW,MF",St. Pauli,27-035,1998,20,16,1383,15.4,5,1,6,5,0,0,6,0,5.8,5.8,1.8,7.7,30,32,103,0.39,0.50,Matches
Willi Orban,hu HUN,DF,RB Leipzig,32-162,1992,25,25,2222,24.7,5,0,5,5,0,0,4,2,4.0,4.0,1.0,5.0,15,106,8,0.20,0.20,Matches
Oliver Burke,sct SCO,FW,Werder Bremen,28-007,1997,21,6,650,7.2,5,0,5,5,0,0,4,0,3.5,3.5,0.9,4.4,11,15,59,0.69,0.61,Matches
Tom Bischof,de GER,"MF,FW",Hoffenheim,19-290,2005,27,26,2236,24.8,5,2,7,5,0,0,4,0,1.7,1.7,3.2,4.9,45,125,95,0.28,0.20,Matches
Jeremie Frimpong,nl NED,"DF,MF",Leverkusen,24-125,2000,29,22,2054,22.8,4,5,9,4,0,0,3,0,4.0,4.0,4.0,8.0,90,49,251,0.39,0.35,Matches
Can Uzun,tr TUR,"MF,FW",Eint Frankfurt,19-154,2005,18,6,628,7.0,4,1,5,4,0,0,1,0,2.7,2.7,1.1,3.8,9,41,40,0.72,0.54,Matches
Kingsley Coman,fr FRA,FW,Bayern Munich,28-305,1996,23,11,1049,11.7,4,4,8,4,0,0,0,0,3.8,3.8,3.2,6.9,55,41,179,0.69,0.59,Matches
Romano Schmid,at AUT,MF,Werder Bremen,25-077,2000,27,27,2403,26.7,4,4,8,4,0,0,3,0,3.2,3.2,5.4,8.6,92,236,172,0.30,0.32,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,23-086,2002,20,14,1171,13.0,4,4,8,4,0,0,3,0,4.2,4.2,5.3,9.5,56,25,127,0.61,0.73,Matches
Leon Goretzka,de GER,MF,Bayern Munich,30-067,1995,22,12,1174,13.0,4,1,5,4,0,0,2,0,2.6,2.6,1.4,3.9,33,113,26,0.38,0.30,Matches
Raphaël Guerreiro,pt POR,"DF,MF",Bayern Munich,31-113,1993,20,16,1340,14.9,4,2,6,4,0,0,1,0,2.3,2.3,2.8,5.1,33,68,106,0.40,0.34,Matches
Robin Hack,de GER,FW,Gladbach,26-230,1998,28,23,1860,20.7,4,5,9,4,0,0,4,0,4.6,4.6,2.8,7.4,41,81,116,0.44,0.36,Matches
Armin Gigovic,ba BIH,MF,Holstein Kiel,23-008,2002,27,19,1566,17.4,4,1,5,4,0,0,4,0,1.6,1.6,1.5,3.1,34,40,42,0.29,0.18,Matches
Mitchell Weiser,de GER,"DF,MF",Werder Bremen,30-358,1994,27,27,2421,26.9,4,8,12,4,0,0,8,1,4.3,4.3,3.9,8.2,53,99,164,0.45,0.30,Matches
Alexander Bernhardsson,se SWE,"MF,DF",Holstein Kiel,26-218,1998,14,10,866,9.6,4,1,5,4,0,0,3,0,1.7,1.7,0.7,2.4,14,24,57,0.52,0.25,Matches
Marius Bülter,de GER,FW,Hoffenheim,32-016,1993,20,18,1345,14.9,4,1,5,4,0,0,4,0,3.1,3.1,2.6,5.6,43,25,124,0.33,0.38,Matches
Matúš Bero,sk SVK,MF,Bochum,29-220,1995,26,25,2250,25.0,4,2,6,4,0,0,10,0,2.9,2.9,3.5,6.5,23,121,94,0.24,0.26,Matches
Gift Orban,ng NGA,FW,Hoffenheim,22-271,2002,12,7,657,7.3,4,0,4,4,0,0,2,0,3.4,3.4,0.0,3.4,7,7,33,0.55,0.46,Matches
Enzo Millot,fr FRA,"MF,FW",Stuttgart,22-271,2002,26,20,1628,18.1,4,4,8,4,0,1,8,0,7.1,6.3,2.8,9.1,37,106,113,0.44,0.55,Matches
Mathias Honsak,at AUT,"FW,DF",Heidenheim,28-115,1996,18,11,1070,11.9,4,1,5,4,0,0,1,0,3.2,3.2,1.5,4.8,33,23,48,0.42,0.40,Matches
Mattias Svanberg,se SWE,MF,Wolfsburg,26-099,1999,19,14,1197,13.3,3,1,4,3,0,0,4,0,3.6,3.6,1.7,5.4,11,36,39,0.30,0.41,Matches
Aleix García,es ESP,MF,Leverkusen,27-290,1997,24,15,1291,14.3,3,3,6,3,0,0,2,0,0.9,0.9,4.7,5.6,23,109,46,0.42,0.39,Matches
Nelson Weiper,de GER,FW,Mainz 05,20-028,2005,18,6,600,6.7,3,0,3,3,0,0,2,0,3.4,3.4,0.7,4.1,10,9,55,0.45,0.61,Matches
Keven Schlotterbeck,de GER,DF,Augsburg,27-351,1997,18,15,1297,14.4,3,1,4,3,0,0,4,1,0.8,0.8,0.6,1.4,3,59,2,0.28,0.10,Matches
Johannes Eggestein,de GER,FW,St. Pauli,26-341,1998,25,22,1823,20.3,3,4,7,2,1,2,3,0,4.7,3.1,2.1,5.2,25,43,135,0.30,0.33,Matches
Donyell Malen,nl NED,"FW,MF",Dortmund,26-095,1999,14,6,614,6.8,3,0,3,3,0,0,1,0,2.9,2.9,0.2,3.2,23,17,75,0.44,0.46,Matches
Felix Agu,de GER,DF,Werder Bremen,25-199,1999,17,16,1344,14.9,3,0,3,3,0,0,1,0,1.0,1.0,1.4,2.4,27,28,86,0.20,0.16,Matches
Antonio Nusa,no NOR,"MF,DF",RB Leipzig,19-362,2005,21,15,1440,16.0,3,3,6,3,0,0,0,0,1.6,1.6,2.6,4.2,51,46,111,0.37,0.26,Matches
Mario Götze,de GER,"MF,FW",Eint Frankfurt,32-315,1992,24,18,1542,17.1,3,2,5,3,0,0,1,0,2.9,2.9,3.1,6.0,29,88,96,0.29,0.35,Matches
Elias Saad,tn TUN,"FW,MF",St. Pauli,25-108,1999,16,10,870,9.7,3,2,5,3,0,0,1,0,2.8,2.8,0.8,3.6,27,26,72,0.52,0.37,Matches
Philipp Hofmann,de GER,FW,Bochum,32-015,1993,29,24,2131,23.7,3,3,6,3,0,0,4,0,5.0,5.0,3.3,8.4,8,48,104,0.25,0.35,Matches
Lucas Höler,de GER,"FW,MF",Freiburg,30-278,1994,27,18,1571,17.5,3,4,7,3,0,1,2,0,6.4,5.6,2.3,7.9,16,38,106,0.40,0.50,Matches
Joakim Mæhle,dk DEN,DF,Wolfsburg,27-329,1997,23,20,1738,19.3,3,4,7,3,0,0,5,0,1.8,1.8,1.7,3.6,50,78,98,0.36,0.19,Matches
Justin Njinmah,de GER,"FW,MF",Werder Bremen,24-150,2000,21,9,837,9.3,3,1,4,3,0,0,1,0,2.6,2.6,0.9,3.5,25,20,90,0.43,0.38,Matches
Andrej Ilic,rs SRB,FW,Union Berlin,25-011,2000,11,7,620,6.9,3,0,3,2,1,1,1,0,2.7,1.9,0.2,2.1,3,8,40,0.29,0.42,Matches
Jeong Woo-yeong,kr KOR,"MF,FW",Union Berlin,25-206,1999,23,17,1263,14.0,3,2,5,3,0,0,2,0,2.8,2.8,1.7,4.4,32,63,93,0.36,0.31,Matches
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,27-061,1998,28,15,1490,16.6,3,1,4,3,0,0,3,0,2.9,2.9,3.7,6.6,51,30,99,0.24,0.40,Matches
Hugo Larsson,se SWE,MF,Eint Frankfurt,20-291,2004,28,23,1943,21.6,3,0,3,3,0,0,2,0,3.0,3.0,1.1,4.1,13,101,29,0.14,0.19,Matches
Léo Scienza,br BRA,"FW,MF",Heidenheim,26-213,1998,22,12,1035,11.5,3,2,5,3,0,0,0,0,1.9,1.9,3.2,5.0,62,27,79,0.43,0.44,Matches
Jan Schöppner,de GER,MF,Heidenheim,25-306,1999,28,27,2334,25.9,3,2,5,3,0,0,7,0,3.4,3.4,3.2,6.6,34,97,39,0.19,0.25,Matches
Emre Can,de GER,"DF,MF",Dortmund,31-092,1994,26,22,1953,21.7,3,0,3,1,2,2,4,1,2.0,0.4,0.4,0.8,16,109,9,0.05,0.11,Matches
Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,21-302,2003,21,17,1503,16.7,3,5,8,3,0,0,1,0,2.2,2.2,4.0,6.2,34,58,98,0.48,0.37,Matches
Patrick Wimmer,at AUT,"MF,FW",Wolfsburg,23-319,2001,24,17,1429,15.9,3,4,7,3,0,0,5,1,3.4,3.4,2.6,6.0,35,69,65,0.44,0.38,Matches
Paul Wanner,de GER,"MF,FW",Heidenheim,19-112,2005,26,18,1570,17.4,3,1,4,2,1,1,2,0,3.5,2.7,1.1,3.8,25,59,56,0.17,0.27,Matches
Julian Brandt,de GER,MF,Dortmund,28-347,1996,25,24,1960,21.8,3,6,9,3,0,0,1,0,3.9,3.9,7.0,10.9,46,122,172,0.41,0.50,Matches
Ridle Baku,de GER,"FW,MF",Wolfsburg,27-006,1998,15,14,1170,13.0,2,1,3,2,0,0,2,0,1.5,1.5,1.3,2.7,16,44,78,0.23,0.21,Matches
Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,25-256,1999,27,15,1375,15.3,2,1,3,2,0,0,5,0,3.9,3.9,1.3,5.2,30,42,77,0.20,0.34,Matches
Kiliann Sildillia,fr FRA,DF,Freiburg,22-333,2002,17,8,790,8.8,2,0,2,2,0,0,2,0,0.5,0.5,0.7,1.1,10,28,32,0.23,0.13,Matches
Armindo Sieb,de GER,"FW,MF",Mainz 05,22-056,2003,26,5,758,8.4,2,2,4,2,0,0,2,0,2.8,2.8,1.1,3.9,27,18,64,0.47,0.47,Matches
Kevin Stöger,at AUT,"MF,FW",Gladbach,31-230,1993,26,14,1332,14.8,2,3,5,1,1,1,2,0,2.6,1.8,5.1,6.9,34,103,87,0.27,0.52,Matches
Ibrahima Sissoko,ml MLI,MF,Bochum,27-169,1997,28,26,2309,25.7,2,1,3,2,0,0,8,0,1.6,1.6,1.5,3.1,31,96,55,0.12,0.12,Matches
Robert Skov,dk DEN,"DF,MF",Union Berlin,28-329,1996,15,11,852,9.5,2,2,4,1,1,1,1,0,1.7,0.9,2.4,3.3,25,36,45,0.32,0.43,Matches
Danel Sinani,lu LUX,"FW,MF",St. Pauli,28-009,1997,21,9,845,9.4,2,1,3,2,0,0,2,0,1.4,1.4,2.0,3.3,8,42,41,0.32,0.36,Matches
Haris Tabakovic,ba BIH,FW,Hoffenheim,30-298,1994,18,5,700,7.8,2,1,3,2,0,0,0,0,2.7,2.7,1.0,3.7,3,6,37,0.39,0.48,Matches
Julian Chabot,de GER,DF,Stuttgart,27-061,1998,26,22,1864,20.7,2,1,3,2,0,0,9,1,1.3,1.3,0.2,1.5,6,81,2,0.14,0.07,Matches
Franck Honorat,fr FRA,FW,Gladbach,28-246,1996,15,15,1182,13.1,2,5,7,2,0,0,0,0,3.5,3.5,4.3,7.7,48,36,100,0.53,0.59,Matches
Álex Grimaldo,es ESP,"DF,MF",Leverkusen,29-206,1995,27,26,2252,25.0,2,5,7,2,0,0,5,1,2.3,2.3,6.8,9.1,75,141,227,0.28,0.36,Matches
Niklas Dorsch,de GER,MF,Heidenheim,27-089,1998,18,15,1097,12.2,2,2,4,2,0,0,3,1,0.9,0.9,1.0,1.9,11,49,20,0.33,0.15,Matches
Dayot Upamecano,fr FRA,DF,Bayern Munich,26-169,1998,20,20,1759,19.5,2,0,2,2,0,0,6,0,1.2,1.2,0.5,1.7,17,137,4,0.10,0.09,Matches
El Bilal Touré,ml MLI,"FW,MF",Stuttgart,23-193,2001,12,3,356,4.0,2,1,3,2,0,0,0,0,1.6,1.6,1.1,2.8,6,7,25,0.76,0.70,Matches
Junior Adamu,at AUT,FW,Freiburg,23-312,2001,21,15,1248,13.9,2,1,3,2,0,0,5,1,4.7,4.7,1.5,6.2,7,10,70,0.22,0.45,Matches
Nathan Tella,ng NGA,"MF,FW",Leverkusen,25-283,1999,22,13,1090,12.1,2,2,4,2,0,0,0,0,2.6,2.6,0.7,3.3,29,22,104,0.33,0.27,Matches
Jonathan Tah,de GER,DF,Leverkusen,29-062,1996,28,28,2520,28.0,2,0,2,2,0,0,2,0,0.9,0.9,0.3,1.2,15,152,8,0.07,0.04,Matches
Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-243,2000,13,2,350,3.9,2,0,2,1,1,1,0,0,3.4,2.7,0.2,2.9,5,7,13,0.26,0.94,Matches
Leonardo Bittencourt,de GER,MF,Werder Bremen,31-116,1993,22,10,907,10.1,2,1,3,2,0,0,2,0,1.5,1.5,1.6,3.1,16,60,34,0.30,0.30,Matches
Adrian Beck,de GER,"MF,FW",Heidenheim,27-309,1997,27,13,1205,13.4,2,1,3,2,0,0,1,0,2.4,2.4,1.0,3.5,25,57,68,0.22,0.26,Matches
Michy Batshuayi,be BEL,"FW,DF",Eint Frankfurt,31-194,1993,6,2,207,2.3,2,0,2,2,0,0,2,0,0.8,0.8,0.0,0.9,3,7,10,0.87,0.38,Matches
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,26-023,1999,14,8,787,8.7,2,1,3,2,0,0,2,0,1.2,1.2,0.5,1.7,3,21,1,0.34,0.20,Matches
Martin Terrier,fr FRA,"MF,FW",Leverkusen,28-041,1997,15,7,584,6.5,2,1,3,2,0,0,1,0,2.4,2.4,0.9,3.3,11,14,35,0.46,0.52,Matches
Tuta,br BRA,"DF,MF",Eint Frankfurt,25-284,1999,26,22,1944,21.6,2,1,3,2,0,0,8,0,0.8,0.8,0.3,1.1,9,62,6,0.14,0.05,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,26-207,1998,12,3,400,4.4,2,2,4,2,0,0,0,0,2.3,2.3,0.6,2.9,16,16,41,0.90,0.66,Matches
Budu Zivzivadze,ge GEO,FW,Heidenheim,31-035,1994,12,10,894,9.9,2,3,5,2,0,0,0,0,1.3,1.3,1.4,2.8,9,17,39,0.50,0.28,Matches
Amine Adli,ma MAR,"MF,FW",Leverkusen,24-339,2000,15,5,578,6.4,2,0,2,2,0,0,2,0,2.3,2.3,0.3,2.5,29,19,88,0.31,0.39,Matches
Robert Andrich,de GER,"MF,DF",Leverkusen,30-204,1994,20,17,1398,15.5,2,2,4,2,0,0,7,0,1.3,1.3,0.3,1.5,7,58,14,0.26,0.10,Matches
Mert Kömür,de GER,MF,Augsburg,19-271,2005,15,1,370,4.1,2,1,3,2,0,0,1,0,0.8,0.8,0.3,1.1,10,5,32,0.73,0.27,Matches
Robin Koch,de GER,DF,Eint Frankfurt,28-271,1996,25,25,2136,23.7,2,0,2,2,0,0,3,0,1.3,1.3,0.1,1.4,8,75,3,0.08,0.06,Matches
Derrick Köhn,de GER,"DF,FW",Werder Bremen,26-069,1999,23,14,1301,14.5,2,2,4,2,0,0,2,0,0.7,0.7,1.6,2.4,34,36,119,0.28,0.16,Matches
Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,25-098,2000,21,3,692,7.7,2,0,2,1,1,2,6,1,3.6,2.1,1.0,3.1,12,21,62,0.13,0.61,Matches
Lovro Majer,hr CRO,MF,Wolfsburg,27-087,1998,4,2,145,1.6,2,0,2,1,1,1,1,0,1.1,0.4,0.0,0.4,2,2,6,0.62,0.72,Matches
Jean Mattéo Bahoya,fr FRA,"FW,MF",Eint Frankfurt,19-342,2005,20,7,684,7.6,2,2,4,2,0,0,3,0,1.5,1.5,1.1,2.6,17,22,80,0.53,0.34,Matches
Kim Min-jae,kr KOR,DF,Bayern Munich,28-150,1996,26,26,2238,24.9,2,0,2,2,0,0,2,0,1.6,1.6,0.3,1.9,16,181,5,0.08,0.08,Matches
Giorgos Masouras,gr GRE,"FW,MF",Bochum,31-103,1994,9,8,689,7.7,2,1,3,2,0,0,0,0,3.6,3.6,0.9,4.5,19,11,51,0.39,0.58,Matches
Granit Xhaka,ch SUI,MF,Leverkusen,32-199,1992,29,29,2541,28.2,2,7,9,2,0,0,3,0,0.9,0.9,4.3,5.1,36,289,66,0.32,0.18,Matches
Dani de Wit,nl NED,"MF,FW",Bochum,27-076,1998,24,11,1063,11.8,2,0,2,2,0,0,1,0,1.8,1.8,0.4,2.2,4,26,34,0.17,0.19,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,30-322,1994,25,24,2151,23.9,2,4,6,2,0,0,7,0,0.8,0.8,2.6,3.4,9,119,15,0.25,0.14,Matches
David Zec,si SVN,DF,Holstein Kiel,25-099,2000,13,13,1116,12.4,2,0,2,2,0,0,5,0,1.2,1.2,0.5,1.7,2,27,1,0.16,0.14,Matches
Jamie Leweling,de GER,"MF,FW",Stuttgart,24-047,2001,23,19,1438,16.0,2,2,4,2,0,0,4,0,1.1,1.1,3.3,4.4,51,48,143,0.25,0.28,Matches
Matthias Ginter,de GER,DF,Freiburg,31-085,1994,27,23,2111,23.5,2,0,2,2,0,0,5,0,1.8,1.8,0.6,2.4,10,100,15,0.09,0.10,Matches
Tom Rothe,de GER,"DF,MF",Union Berlin,20-167,2004,21,14,1248,13.9,2,2,4,2,0,0,4,1,1.6,1.6,1.3,2.9,21,36,82,0.29,0.21,Matches
Gio Reyna,us USA,MF,Dortmund,22-152,2002,14,3,328,3.6,2,0,2,2,0,0,3,0,0.2,0.2,0.2,0.4,5,18,18,0.55,0.11,Matches
Christian Günter,de GER,DF,Freiburg,32-045,1993,27,27,2282,25.4,2,2,4,2,0,0,0,0,0.8,0.6,2.5,3.2,19,52,108,0.16,0.13,Matches
Ko Itakura,jp JPN,DF,Gladbach,28-077,1997,27,27,2430,27.0,2,0,2,2,0,0,5,0,0.9,0.9,0.8,1.7,18,57,3,0.07,0.06,Matches
Lukas Nmecha,de GER,"FW,MF",Wolfsburg,26-121,1998,14,1,264,2.9,2,0,2,2,0,0,1,0,3.6,3.6,0.2,3.7,4,4,23,0.68,1.26,Matches
Felix Nmecha,de GER,MF,Dortmund,24-186,2000,21,14,1172,13.0,2,1,3,2,0,0,2,0,0.3,0.3,0.9,1.2,11,64,13,0.23,0.09,Matches
Nathan N'Goumou,cm CMR,FW,Gladbach,25-031,2000,19,9,828,9.2,2,1,3,2,0,0,0,0,1.9,1.9,1.3,3.2,30,16,85,0.33,0.34,Matches
Piero Hincapié,ec ECU,DF,Leverkusen,23-095,2002,27,24,2296,25.5,2,2,4,2,0,0,6,0,2.7,2.7,3.2,5.8,46,142,69,0.16,0.23,Matches
Finn Porath,de GER,"DF,MF",Holstein Kiel,28-050,1997,27,20,1865,20.7,2,3,5,2,0,0,3,0,1.8,1.8,1.9,3.6,40,57,65,0.24,0.18,Matches
Michael Gregoritsch,at AUT,FW,Freiburg,30-361,1994,18,5,577,6.4,2,1,3,2,0,0,2,0,1.8,1.8,0.4,2.2,6,18,34,0.47,0.34,Matches
Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,27-277,1997,26,24,2153,23.9,2,2,4,2,0,0,2,0,1.1,1.1,2.4,3.5,47,150,127,0.17,0.15,Matches
Eric Smith,se SWE,"DF,MF",St. Pauli,28-096,1997,27,27,2377,26.4,1,1,2,1,0,0,5,0,1.3,1.3,1.5,2.8,14,96,11,0.08,0.11,Matches
Anton Stach,de GER,"MF,DF",Hoffenheim,26-150,1998,25,24,2144,23.8,1,1,2,1,0,0,6,0,1.4,1.4,1.4,2.8,28,122,31,0.08,0.12,Matches
Maximilian Eggestein,de GER,MF,Freiburg,28-127,1996,28,28,2395,26.6,1,0,1,1,0,0,4,0,1.6,1.6,1.5,3.1,28,128,32,0.04,0.12,Matches
