Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Matches
Maxim Leitsch,de GER,DF,Mainz 05,26-331,1998,14,6,674,7.5,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,4,25,5,0.13,0.19,Matches
Johan Manzambi,ch SUI,"MF,FW",Freiburg,19-182,2005,6,0,54,0.6,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,3,3,1.67,0.64,Matches
Julián Malatini,ar ARG,DF,Werder Bremen,23-318,2001,10,5,454,5.0,1,1,2,1,0,0,1,0,0.2,0.2,0.5,0.7,8,24,4,0.40,0.14,Matches
Marius Wolf,de GER,DF,Augsburg,29-322,1995,28,24,1900,21.1,1,3,4,1,0,0,2,0,0.7,0.7,2.7,3.4,32,100,80,0.19,0.16,Matches
Waldemar Anton,de GER,DF,Dortmund,28-268,1996,21,17,1499,16.7,1,2,3,1,0,0,3,0,1.4,1.4,0.8,2.3,28,102,24,0.18,0.14,Matches
Andreas Albers,dk DEN,FW,St. Pauli,35-022,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,3,6,1.45,1.04,Matches
Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,23-182,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,29-360,1995,27,19,1920,21.3,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,12,84,15,0.00,0.02,Matches
Skelly Alvero,fr FRA,MF,Werder Bremen,22-345,2002,12,1,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,0,0.00,0.01,Matches
Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-257,2003,6,1,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,1,1,1,0.00,0.29,Matches
Arthur,br BRA,"DF,FW",Leverkusen,22-028,2003,16,6,554,6.2,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,11,19,45,0.16,0.06,Matches
Noah Atubolu,de GER,GK,Freiburg,22-324,2002,24,24,2127,23.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,Matches
Ayman Azhil,ma MAR,MF,Dortmund,24-004,2001,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,Matches
Adam Aznou,ma MAR,DF,Bayern Munich,18-316,2006,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,Matches
Maximilian Wittek,de GER,DF,Bochum,29-236,1995,28,27,2260,25.1,0,0,0,0,0,0,8,0,1.2,1.2,3.7,4.9,39,111,71,0.00,0.19,Matches
Erencan Yardimci,tr TUR,"FW,MF",Hoffenheim,23-069,2002,8,3,313,3.5,0,0,0,0,0,0,2,0,1.0,1.0,0.0,1.0,4,4,12,0.00,0.30,Matches
Dan-Axel Zagadou,fr FRA,"DF,MF",Stuttgart,25-315,1999,2,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
